track_name,artists,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,hot_or_not,cluster_kmean
les hommes de la paix,danakil,5b0UG5Jryht0nOZwBy8cVu,0.879,0.342,4,-10.786,0,0.21,0.0893,0.0,0.335,0.858,142.057,4,N,1
are you there,horror section,6ueERhwsiTewqkNb5sdfzC,0.334,0.939,2,-5.002,1,0.0396,5.69e-05,2.17e-05,0.356,0.734,165.128,4,N,0
reminisensi,insomniacks,0TRKtVvsVmOkXCvnq5AgNE,0.464,0.601,10,-7.043,1,0.0256,0.0815,0.0,0.105,0.267,77.986,4,N,6
mr. crowley,ozzy osbourne,2ov8L95QD25TLpZAZPYWXL,0.307,0.748,2,-6.514,0,0.0568,0.212,0.000153,0.368,0.347,108.227,4,N,1
shadow of the day,linkin park,0OYcEfskah1egYHjYRvbg1,0.534,0.393,11,-7.813,1,0.0292,0.00479,0.0107,0.107,0.0641,110.007,4,N,2
and then there was you,norah jones,1Yo6lvTsNozmc9Y9SA275E,0.47,0.0845,10,-20.204,1,0.0305,0.956,0.147,0.0825,0.15,84.625,3,N,7
cuts you up,static-x,154kbDHzD3v69qUOxBtnDA,0.62,0.998,6,-1.884,1,0.167,0.00274,0.0,0.138,0.0385,112.99,4,N,0
impulso biomecanico,amduscia,2x5nonw9sYI8mgDcnqD9h7,0.566,1.0,3,-7.472,0,0.0701,0.131,0.0294,0.0782,0.225,138.016,4,N,1
rollercoaster - home demo,everything but the girl,6DuBeVDOtUBcE1UwrSTp37,0.725,0.12,7,-14.317,0,0.0436,0.812,2.92e-06,0.106,0.457,115.605,4,N,2
窮人賣屎忽,my little airport,6PQw7dPJ7GVIToUp1OIVAU,0.6,0.794,10,-7.018,1,0.0439,0.0865,0.0,0.181,0.644,134.069,4,N,6
free fallin',tom petty,5tVA6TkbaAH9QMITTQRrNv,0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,4,N,6
triumph,hairitage,2IeG0rG6pJPhezlazwtv7o,0.673,0.969,9,-0.362,1,0.129,0.0125,0.00493,0.261,0.248,145.005,4,N,0
grisel,anibal troilo y su orquesta,4wjO2nLDK5uJiYcDV752zU,0.442,0.334,0,-8.394,1,0.0326,0.981,0.00444,0.355,0.519,126.813,4,N,2
quando eu contar (iaiá) / brincadeira tem hora - ao vivo no rio de janeiro / 2003,zeca pagodinho,0swGsC12qQJfIIMsSWvtVc,0.709,0.675,5,-10.147,1,0.176,0.605,0.0,0.882,0.744,113.305,4,N,4
pão que alimenta - ao vivo,galocantô,6Gejlfb0nkPaHttVp2oAzK,0.595,0.95,2,-5.54,1,0.137,0.299,0.00935,0.439,0.896,111.421,4,N,6
ten degrees,j.d. crowe & the new south,3mX9099LxzxgMm2YrJsgxp,0.733,0.391,0,-12.102,1,0.035,0.682,0.0,0.125,0.866,101.443,4,N,6
necesito tu veneno,cyclo,7eg7WB7OOHbxEYKk9gMCw0,0.703,0.718,1,-7.72,0,0.0446,0.154,1.88e-05,0.103,0.374,95.001,4,N,1
being and nothing,extreme noise terror,2UtHDMrcfwrC68dfGcACu8,0.128,0.98,7,-3.079,1,0.0919,2.09e-06,0.786,0.33,0.0371,87.259,1,N,8
silent sky,kiara leonard,7jOC9bmHMZ5m4S1ZDAYgzn,0.58,0.114,0,-27.919,1,0.049,0.995,0.916,0.11,0.225,104.383,5,N,7
イザベラの唄,小畑貴裕,6qzTbAFDX82BxJIBbdKPH8,0.207,0.299,10,-11.389,0,0.0385,0.955,0.286,0.111,0.156,111.011,3,N,2
mixtape : time out,stray kids,5vMQIOhLw85H8WYIf1kEWw,0.555,0.944,2,-1.948,1,0.115,0.0427,0.0,0.25,0.41,159.992,4,N,0
enjoyment,jlyricz,2QWJw0nexdBa85pXuEZGsv,0.803,0.41,6,-7.662,0,0.0886,0.252,9.94e-05,0.122,0.678,90.006,4,N,1
grayscale,lamb of god,3mnSgoZalFJkqsbIaQQOfW,0.408,0.992,11,-4.764,1,0.135,0.000919,0.0375,0.354,0.405,175.05,3,N,0
make me a channel of your peace,katherine jenkins,2qfF8mxlGHAzbXLTTDhyBV,0.191,0.226,0,-13.633,1,0.0378,0.919,6.86e-06,0.0763,0.154,82.297,3,N,2
rej,âme,3fAV0eFLbmNgCjS3fMhqf6,0.221,0.0534,7,-28.211,1,0.0429,0.948,0.953,0.112,0.0353,70.653,4,N,7
perfect war,fgfc820,4UDX4bwjpWco6ZGXx0goQE,0.559,0.929,7,-5.438,1,0.0298,0.000506,0.803,0.52,0.54,131.035,4,N,3
sathi,sushant kc,5QSxwHGT5sxyhDmTPJhbho,0.438,0.296,11,-12.552,1,0.0385,0.863,0.000147,0.103,0.398,173.711,3,N,2
kalla sohna nai,akhil,4yurVSNjaPBKkOpbZWtuJO,0.802,0.499,9,-5.881,1,0.0345,0.454,0.0,0.143,0.763,92.055,4,N,6
fuzz love,go!go!vanillas,14pcJ9ataHJNvXHVec6aK0,0.257,0.979,1,-1.344,1,0.0723,0.000311,0.0,0.0527,0.365,180.043,4,N,0
le moulin,yann tiersen,29K9v9Y3wptKBvoR9wVTBR,0.575,0.0559,10,-16.409,0,0.0536,0.991,0.536,0.0808,0.214,138.327,3,N,7
haltija,etherwood,7kw41lYPLVzHAtfHIhVCWv,0.385,0.844,1,-6.716,1,0.0388,0.00747,0.94,0.397,0.0829,171.99,4,N,3
zero zero,de-phazz,34ajJTLWJAj0kVNH4va17w,0.647,0.623,2,-12.029,0,0.0606,0.0406,0.00636,0.118,0.79,168.193,4,N,1
nuevo amanecer,plan 4,2lIwxUmb2hFVSd7azXJ1bl,0.464,0.884,7,-3.774,1,0.0715,0.0029,0.00234,0.0606,0.271,144.168,4,N,0
ella,víctor manuelle,6xggO96o1OD6zNd5wjevhQ,0.744,0.678,2,-8.22,1,0.0497,0.211,1.17e-06,0.208,0.913,172.915,4,N,6
a day in the life,the beatles,0hKRSZhUGEhKU6aNSPBACZ,0.364,0.457,4,-14.162,0,0.0675,0.29,0.000106,0.922,0.175,163.219,4,N,4
durch die nacht,sylvie maziarz,1Cys1iqgHesAKxEC31Qp66,0.498,0.898,4,-10.491,0,0.0414,0.00101,0.758,0.115,0.137,140.026,4,N,3
silk route - original mix,onyvaa,0AxJEPUG7zawpAE96Tj3ET,0.73,0.508,0,-14.023,1,0.0573,0.0019,0.882,0.107,0.0382,128.001,4,N,3
lucid fairytale,napalm death,3kZpNo5k3D5E2MpQgczFRT,0.317,0.777,1,-10.649,0,0.107,2.57e-06,0.958,0.211,0.218,116.388,4,N,3
"chahargah i, op. 75",alireza mashayekhi,15I09iqLRCcc6KRCm3FcyE,0.426,0.00161,2,-14.419,1,0.0563,0.974,0.916,0.0874,0.122,65.296,4,N,7
softly on the field,laura sullivan,0Ug8tD5hbRfgneHlNmQBaE,0.45,0.0709,2,-29.773,1,0.0378,0.994,0.907,0.108,0.351,110.822,4,N,7
i'll be your reason,illenium,4xI3ZnLIJlyqSIGoITf49R,0.563,0.852,5,-4.928,1,0.058,0.194,0.000645,0.694,0.471,141.949,4,N,4
yaara,mamta sharma,3Oi40ZdQtHovqlehbuF9xo,0.386,0.549,7,-6.75,1,0.0745,0.876,0.0,0.095,0.194,71.984,4,N,2
un pacman en el savoy,patricio rey y sus redonditos de ricota,7BKRoRcMvYosqG2ZndcNOM,0.463,0.93,2,-5.754,0,0.0414,0.238,1.44e-06,0.342,0.744,134.864,4,N,1
no hay truco,porta,3vMbiNwzKB3maKNef1Lw74,0.499,0.811,11,-5.386,1,0.401,0.42,0.0,0.211,0.964,185.609,4,N,6
瞬く星の下で,pornograffitti,2wtjNLM5gsIQBIW8F8zHO0,0.584,0.965,2,-3.979,1,0.0802,0.0537,0.0,0.331,0.564,134.944,4,N,0
hartz 4 und der tag gehört dir,ingo ohne flamingo,5hFk1geMLBnzvJhJ1dub1j,0.821,0.789,6,-2.74,1,0.123,0.143,0.0,0.374,0.698,125.018,4,N,6
sick of it all,nosferatu;evil activities,4N5k7XuQ6waV84W0Zk7ia3,0.383,0.978,4,-5.595,0,0.0953,0.0827,0.0043,0.327,0.216,175.464,4,N,0
fanky,charly garcía,0X0rXpmcHjt3Y28RnvViqs,0.747,0.503,7,-13.473,0,0.0397,0.000234,0.775,0.0539,0.409,111.133,4,N,3
wait,m83,3rTnGUeDrnZV22DvRuUuXr,0.437,0.229,2,-10.514,1,0.0308,0.221,0.0599,0.0935,0.0754,147.911,4,N,2
reloj de plastilina,charly garcía,4MMlauJ06Zm1apM1aPe7HZ,0.63,0.681,2,-15.605,1,0.0332,0.0274,2.53e-05,0.109,0.896,130.178,4,N,6
i suck (blood),every time i die,6PIltGJHvV1bfAwl4JhMk4,0.225,0.974,0,-3.919,0,0.184,6.88e-06,1.55e-05,0.259,0.343,130.399,4,N,0
psychological necrosis,haggus,5zPelF45Kzq4lwyjxIslC4,0.169,0.996,5,-3.393,1,0.143,4.28e-05,0.974,0.272,0.03,136.266,4,N,3
no matter where you are,us the duo,2XW4AAjfBQTzp7Oe1tU702,0.693,0.664,4,-5.852,1,0.0336,0.0309,0.0,0.223,0.436,132.059,4,N,6
elegia,antonio garcia isaac,72dTSVm9IsZD0eYft7H7XV,0.482,0.0685,2,-22.069,1,0.0868,0.991,0.934,0.109,0.221,103.099,4,N,7
eisenkreuzkrieger - remastered 2022,eisregen,2B34RFUGMBZKwONE5sElkm,0.288,0.951,0,-6.788,0,0.0618,0.00929,0.000627,0.184,0.146,145.347,4,N,0
miranda,frank turner,7eTmww7WxZ5lXGGRhwh7Yh,0.524,0.578,7,-5.974,1,0.0267,0.000971,6.55e-06,0.326,0.29,75.032,4,N,6
mi todo,dinamarca,0dahtn7arxjtOUwbcLZgH4,0.752,0.722,0,-3.442,1,0.0735,0.337,0.807,0.114,0.208,177.994,4,N,3
o que é que há,gal costa,4UPhXYKlkMcmGqoEamcABC,0.343,0.177,2,-10.235,1,0.0342,0.943,0.0,0.0887,0.251,84.318,4,N,2
marasmo,ventania,4qeKW6iHErETwNb4sgdYkZ,0.693,0.511,9,-6.565,0,0.0567,0.773,4.52e-06,0.0708,0.65,114.982,4,N,1
pronóstico,impacto crea,66KGQKjd0ooNXFSx9uRc8c,0.494,0.408,5,-7.287,0,0.0288,0.729,0.0623,0.329,0.421,146.371,4,N,2
mornoon,luke vibert,01tURAVG5neC5Hvpwadq5v,0.807,0.644,4,-10.495,0,0.0749,0.0112,0.893,0.104,0.139,122.543,4,N,3
shiva's india - outsiders remix,1200 micrograms,4qrzgVfjMTVFUcPZRcuyYc,0.518,0.931,2,-6.442,1,0.0387,0.000632,0.792,0.42,0.219,145.0,4,N,3
chamar de namorada - ao vivo,paulo pires,4RPEb6Rzl6wrse7ps2vJnE,0.728,0.827,8,-3.509,1,0.0485,0.1,0.0,0.735,0.723,114.887,4,N,4
da capo - video mix,perplexer,2wfHc3wJjCeaaB78MlIJ2i,0.591,0.816,0,-12.801,1,0.0495,0.00123,0.895,0.106,0.162,158.775,4,N,3
miracle,jon bon jovi,6FJ9Xp3fCxSTAdcRVaDQdl,0.577,0.677,3,-10.327,1,0.0245,0.367,0.0,0.493,0.683,92.007,4,N,6
aundy - dj version,claude vonstroke,41R9HfU6EIHiqF8QzpGj7v,0.72,0.581,0,-13.576,0,0.0439,0.535,0.896,0.109,0.386,126.004,4,N,3
out of control - radio edit,ran-d,6WmhB7PydXhY5RwRgtc3l8,0.521,0.931,8,-2.749,0,0.121,0.0161,0.0,0.125,0.223,154.959,4,N,0
la montaña (a montanha),roberto carlos,5zhIg69DEG2wJXf5ikaCUH,0.386,0.373,7,-12.355,1,0.0311,0.848,0.0,0.613,0.887,176.684,4,N,4
your hands,marsha ambrosius,5bc0M2DQIgkubfWtvGZZ8d,0.346,0.288,8,-9.875,1,0.0371,0.774,0.0,0.119,0.077,88.216,4,N,2
le voyage de pénélope,air,6NBa6VmFsqWQjJ9cM5H6q2,0.505,0.513,2,-9.648,0,0.031,0.557,0.894,0.206,0.309,129.871,4,N,3
escondido en silencio,cyclo,3g1b8E5scSlf30JasRqPDQ,0.712,0.818,9,-9.885,0,0.12,0.553,4.76e-06,0.112,0.527,143.975,4,N,1
the old one,justnormal,1Pyi216CJ0ioQPctKRVHuF,0.917,0.313,0,-8.987,1,0.466,0.335,0.529,0.166,0.671,133.281,3,N,6
moon,lund,3eZXeTzRtqFrpj5zSfw9V0,0.842,0.336,5,-10.937,1,0.0878,0.61,0.00112,0.11,0.705,153.989,4,N,6
mugen,pornograffitti,4nGrdauWlIuXLSwsMbVElf,0.619,0.973,0,-3.352,0,0.0694,0.245,0.0,0.287,0.819,95.021,4,N,1
под лаской плюшевого пледа,valentina ponomaryova,14a0ll97PWfUwEepiA2gPc,0.402,0.106,5,-18.661,1,0.0641,0.948,2.76e-05,0.112,0.21,168.905,3,N,2
お勉強しといてよ,zutomayo,3sgJTMHqDwxfsBIMqvkXKE,0.698,0.875,8,-3.318,1,0.0592,0.0841,2.5e-05,0.177,0.868,132.031,4,N,6
grace,fujii kaze,7tnYsRepXLaNhqj4xtcWP2,0.668,0.685,7,-8.765,1,0.0472,0.0822,0.0257,0.319,0.637,108.971,4,N,6
i miss you,ichika nito,37Unx14mB8QnCx0bDjtCM8,0.631,0.489,11,-6.966,1,0.101,0.58,0.821,0.12,0.418,203.953,4,N,3
holiday,the tough alliance,6obwTfv8LDGj7690UklP9c,0.552,0.862,6,-5.693,1,0.0411,0.00148,4.19e-05,0.114,0.742,120.032,4,N,6
closure,faime,1WGyC4si6ztHHNVM3gI5VQ,0.708,0.278,9,-9.354,1,0.035,0.636,1.1e-06,0.115,0.321,87.023,4,N,2
tell me 'bout it,joss stone,7GmELLCacoDxgw74xfeUE4,0.864,0.927,10,-4.285,0,0.11,0.00333,6.93e-05,0.821,0.686,109.303,4,N,4
take you down,illenium,6f1oG9hTx3NETgV6q4rkw5,0.275,0.657,11,-3.9,1,0.0431,0.396,0.000148,0.305,0.219,169.638,4,N,0
love drunk,faime,5mgGKIjsmxlRpEm7DQoMga,0.733,0.535,8,-5.574,1,0.201,0.358,0.00489,0.0967,0.916,180.076,4,N,6
cler achel,tinariwen,1sXLitmQULzwiWR8D38Ekw,0.685,0.797,2,-5.372,1,0.0558,0.506,0.00923,0.069,0.926,98.614,4,N,6
彼女の“modern…” (anthology remix),glay,5NootbNcFG4J7v38c2dUFj,0.508,0.96,11,-2.391,0,0.0477,0.000817,4.91e-06,0.236,0.653,150.251,4,N,1
wodka mit irgendwas,ina colada,3aWqrI286DH7JxPsp8HSOs,0.621,0.958,5,-3.113,0,0.0533,0.0426,0.0,0.349,0.815,145.056,4,N,1
lido,bicep,0HZtVLVL6oLU9WobKQxqGu,0.648,0.339,9,-14.428,0,0.0304,0.966,0.881,0.105,0.169,119.984,4,N,7
ultimate devotion,strung out,16JJiVvV0cBmo93lIivZKq,0.46,0.96,4,-5.157,0,0.165,3.68e-05,2.95e-05,0.285,0.359,109.165,4,N,1
king of love,dave edmunds,4yI1wZFvbyNE26RRV4oVVD,0.388,0.831,4,-8.686,1,0.055,0.16,0.0,0.156,0.8,173.636,4,N,0
aller herren länder,heinz rudolf kunze,7po1h1swSVjeJdz5Xrs8Se,0.594,0.873,7,-6.721,1,0.035,0.0052,7.85e-05,0.22,0.557,109.152,4,N,6
passing rain,marta jobim,3DsShklw3Th0y25Xm66L2d,0.53,0.108,9,-17.208,1,0.0663,0.993,0.94,0.104,0.255,137.02,4,N,7
the wrong side of midnight,u.d.o.,7t3hTyrTkACCUe2yRNO60b,0.425,0.862,6,-5.183,1,0.0486,0.000844,0.000338,0.617,0.501,150.0,4,N,4
shake and move,patty shukla,2tZUOYK2y7WNhArsa3oxUn,0.795,0.511,7,-8.577,1,0.0415,0.298,0.0,0.149,0.113,119.908,4,N,6
brookline,finlep,4jXvLe7ERO8yIYETDZGU0m,0.511,0.11,2,-20.248,1,0.0769,0.987,0.947,0.11,0.13,95.946,4,N,7
ariadne,elfensjón,4vgY1sJlheWqBTDd9hXlbP,0.512,0.972,9,-2.78,0,0.106,0.0357,0.0,0.424,0.322,106.54,4,N,1
flashbacks,zach hood,4SeZpWSgq1c8a0MY3iVy1f,0.55,0.448,11,-7.382,1,0.0314,0.879,0.0,0.0734,0.49,99.713,4,N,2
where the hood at,dmx,6RUpJeXT6U4SPEafnr9Wr7,0.537,0.948,8,-3.063,1,0.355,0.151,0.0,0.356,0.792,186.151,4,N,0
vägsjäl,jeepstarr,28258RcG0K7cj4LirbIYlm,0.689,0.435,0,-12.114,1,0.126,0.136,0.0,0.128,0.238,82.923,4,N,6
a thousand years,nazareno aversa,0GZap2PHRZ1NGELroxGnmQ,0.567,0.137,10,-19.474,1,0.0467,0.958,0.87,0.116,0.111,103.993,4,N,7
el caterete,wganda kenya,6enI96YITwazklTW4kkHae,0.629,0.942,2,-7.008,1,0.0712,0.00136,0.00577,0.19,0.511,116.605,4,N,6
lihaa ja perunaa,popeda,6pstdjNL2P9I3XaWHL6EwR,0.494,0.852,6,-4.364,0,0.0505,0.00671,0.000252,0.0981,0.706,156.07,4,N,1
grim magnetic,internal rot,02XTkiiDVprCUOaCVDVS1G,0.214,0.996,6,-3.63,1,0.13,0.00212,0.708,0.348,0.0394,102.116,3,N,3
"baby, i love your way - live",peter frampton,1ksayCHVLH4eKFm43GFokU,0.518,0.786,7,-5.739,1,0.0357,0.448,2.5e-05,0.7,0.463,72.269,4,N,4
星秀傳說,sammi cheng,2fEHM7a1RaYBdECg4YzAl5,0.525,0.954,11,-5.411,0,0.0968,0.0364,0.0,0.17,0.502,147.518,4,N,1
limo vincit omnia,slugdge,7was7Mxkjj3odhDicumkd6,0.41,0.935,11,-7.113,0,0.0766,1.41e-05,0.583,0.208,0.0873,105.045,4,N,3
tendência - ao vivo,jorge aragão,6ty2XoMAhwS2WRevhjQeb3,0.69,0.503,9,-11.697,0,0.0568,0.753,2.97e-06,0.319,0.446,100.979,4,N,1
pneuma,tool,03sEzk1VyrUZSgyhoQR0LZ,0.415,0.53,9,-9.338,0,0.0314,0.00209,0.75,0.11,0.0586,114.174,1,N,8
see me now (candlelight to original edit),mark with a k,3pOoZ2Z4VKUNOC3NpKZZeh,0.386,0.81,0,-7.279,0,0.0445,0.00457,1.4e-05,0.0589,0.117,149.921,4,N,0
you shook me all night long,timo räisänen,5xX58ok24goewnuvic3Q4m,0.585,0.232,7,-10.912,1,0.0287,0.866,0.0,0.0657,0.12,135.878,4,N,2
passenger (radio edit),loadstar,4fo9WjN4z2FNSuujcYYT95,0.305,0.973,10,-2.445,1,0.0313,0.000819,0.0389,0.0503,0.101,172.821,4,N,0
dil mera tod diya,alka yagnik,0mtlhgsvR5uG92mRWx7Ezc,0.591,0.804,7,-8.688,0,0.0555,0.459,9.44e-06,0.0743,0.672,107.049,4,N,1
hönsafesten,stefan andersson,42ane8bVDyExtWcffBlxSI,0.702,0.505,7,-9.316,1,0.0921,0.772,0.0,0.107,0.717,123.744,4,N,6
elbet,tan taşçı,5ENWRf6LBynCbfoqNUP1Ps,0.632,0.625,7,-6.091,0,0.0482,0.421,0.0,0.136,0.458,139.975,4,N,1
ingelas sång,nationalteatern,1MyyDXak1zsQh5S6aALw4X,0.39,0.695,9,-5.898,1,0.0455,0.607,7.42e-06,0.0923,0.385,186.563,4,N,0
heaven knows i'm miserable now - 2011 remaster,the smiths,1xaTREM89RbIxkcjlpf4Uw,0.609,0.759,6,-4.862,1,0.0276,0.028,0.0,0.183,0.774,114.045,4,N,6
la olla y el comal,cri-cri,7kPVB9qBMWcNWcCyDiz2n7,0.574,0.398,0,-10.102,1,0.0449,0.916,0.00238,0.155,0.925,124.66,4,N,2
timeless,hxgo,6zp3mlGhZvE1ucv8q2ucPG,0.708,0.816,5,-6.606,0,0.0364,0.415,0.0379,0.131,0.486,159.97,4,N,1
sorry about your parents,icon for hire,65TtqCvMUIU95GDPlwQUA2,0.434,0.953,8,-4.8,0,0.181,0.00104,0.0,0.122,0.386,162.191,4,N,0
any old sunday,chaka khan,44sDzJkQgkena3Gl12dI9D,0.641,0.622,5,-9.563,0,0.0288,0.32,0.000972,0.0807,0.75,90.022,4,N,1
i chose violence,iamjakehill,7l5GAw0cglUUnN7bKAz5ab,0.676,0.717,7,-8.641,1,0.323,0.323,0.0,0.118,0.451,162.016,4,N,6
fudge,stoplock,5GmSjNEypkbo1NCsculloA,0.436,0.368,4,-15.017,0,0.512,0.92,0.452,0.0602,0.188,85.094,4,N,7
"mi propuesta (amor, amor)",dúo hnos. gaitán castro,1t5zaioi3VUJF0eYjBX2II,0.603,0.485,7,-7.631,1,0.0452,0.747,0.00022,0.109,0.551,77.074,4,N,2
among us,simon wester,0qD7FNvGrdwtH3EaUnK2RY,0.113,0.146,4,-19.294,1,0.033,0.925,0.958,0.0998,0.08,75.822,4,N,7
cold shoulders,prateek kuhad,5wvmIBkBcqg1y5kniumrQk,0.669,0.213,10,-15.379,1,0.0398,0.778,0.0146,0.0849,0.204,129.604,3,N,2
eres mi niña - raggamuffin love,digital dread,4NFZRaxF3MsBXG2vwJYuOM,0.727,0.791,6,-5.727,0,0.243,0.0774,1.36e-05,0.104,0.652,176.024,4,N,1
secret oktober - 2010 remaster,duran duran,315oShanenvc924dXOi7od,0.303,0.74,0,-8.014,1,0.0402,0.431,0.0,0.245,0.671,69.434,4,N,6
beside you,keshi,1Fhb9iJPufNMZSwupsXiRe,0.711,0.747,0,-6.335,1,0.0523,0.459,0.0,0.0957,0.852,136.0,4,N,6
more than all the stars,laura sullivan,5NZAXNg5JGgAhxA8J2Sjsk,0.503,0.141,1,-26.212,1,0.0315,0.992,0.946,0.108,0.579,119.781,3,N,7
tô por aí - ao vivo,di paullo & paulino,4XO4EmzXnytBj31vYPC7eT,0.434,0.654,8,-4.697,1,0.0295,0.538,0.0,0.924,0.502,116.415,4,N,4
em tua presença - ao vivo,nívea soares,2xpotltTAOvJbWJgJKCUoI,0.224,0.619,4,-7.102,0,0.0393,0.0321,1.15e-05,0.77,0.0946,156.045,4,N,4
até o fim,strike,0dVQrji8H7dHlWj5TmHSJ9,0.569,0.93,8,-2.655,0,0.0559,0.00152,0.0,0.0856,0.883,149.024,4,N,1
caminhão é assim - ao vivo,gian & giovani,18T2cbYvvq5pNPRgzpO0eN,0.649,0.647,9,-6.222,1,0.036,0.601,0.0,0.713,0.668,106.024,4,N,4
rumbly in my tumbly,billboard baby lullabies,4BI2jaIIivrlLkqAashzpO,0.763,0.321,3,-16.509,1,0.0653,0.996,0.773,0.143,0.477,138.085,4,N,7
25 years of silence in the attic,eternal griefs,1KceOX4yTiwRHqJFHcmEWp,0.192,0.51,4,-15.102,0,0.0458,0.000194,0.804,0.0935,0.0753,134.662,4,N,3
飛女正傳,miriam yeung,6O0Gk3lNE1NwxOBL9Ry3I6,0.665,0.47,5,-5.543,1,0.0302,0.802,0.0,0.123,0.345,119.935,4,N,2
oulala,vundabar,499SvLeXfMRLhi6BSrPU3Y,0.394,0.708,9,-5.401,1,0.0361,0.174,0.00728,0.139,0.551,81.922,4,N,6
syksyn muistoja,taisto tammi,1CDyOhabXfrSNUYdtxWWqs,0.31,0.214,4,-15.613,0,0.0464,0.747,1.25e-05,0.155,0.461,102.138,4,N,2
senhor te quero,ministério vineyard,6WmlPRkJH68P7tmkFuQe3z,0.507,0.676,7,-8.192,1,0.0326,0.677,1.35e-05,0.677,0.513,130.834,4,N,4
forgotten,the browning,5XX3kOTIOEf8aFu2YCbHQi,0.412,0.983,8,-4.296,1,0.0914,2.08e-05,0.213,0.255,0.307,150.009,4,N,0
vete de aquí,carlos lico,3gHDVQatKa5upJZT1zYPIc,0.439,0.419,2,-8.717,1,0.0327,0.772,0.0,0.529,0.66,78.086,4,N,2
a melhor banda de todos os tempos da última semana,titãs,0J4r8Vmq34tTWw0g0wanKP,0.48,0.976,2,-3.24,1,0.0552,0.0224,0.0,0.145,0.941,165.812,4,N,0
vibrations on a string,rival consoles,6UdhadB8RTc9cVGIljWdqv,0.534,0.674,1,-13.005,0,0.04,0.0439,0.858,0.319,0.0333,120.028,4,N,3
memories of you,last child,3z3zAnQEhtEhbxSfpKCi1H,0.609,0.869,2,-7.95,1,0.12,0.00396,0.0,0.15,0.726,112.071,4,N,6
mejorar la memoria ondas alfa,mc_team,6itTRDLwxG43NhRe8DRvpS,0.228,0.127,7,-25.494,1,0.0598,0.924,0.777,0.14,0.0363,128.591,3,N,7
here in the real world,george jones,1nH5rJ7eumbnAilhAV3WD6,0.546,0.518,3,-5.385,1,0.0247,0.574,2.36e-05,0.0832,0.475,87.973,4,N,2
destination unknown,missing persons,0QyMDyosGai50pjaFbC1NO,0.698,0.53,5,-14.035,1,0.0491,0.0173,0.0254,0.0632,0.272,120.735,4,N,6
if i could fly,joe satriani,1nTIlEfFDYpeRTkvhdF6I3,0.55,0.953,2,-3.65,1,0.0343,5.4e-05,0.927,0.118,0.364,129.987,4,N,3
f it up,jason derulo,7HKgmhsgsJw1Q61brYE4o3,0.847,0.853,11,-4.724,0,0.123,0.11,0.0,0.14,0.811,100.006,4,N,1
為我鼓掌,andy lau,6bXmY7NlYFirDzGOaRzvmO,0.483,0.934,7,-3.768,0,0.0679,0.0101,1.32e-05,0.149,0.54,160.162,4,N,1
don't forget to feed the reindeer,peggy lee,3SxcaSYD2HfvaV8rwk18zv,0.754,0.129,4,-16.7,1,0.0621,0.915,3.93e-05,0.262,0.877,115.733,4,N,2
it's so hard to hold on,trampled by turtles,6KXtEJkHhWrS4NbkVd8KYJ,0.576,0.663,2,-7.999,1,0.0267,0.409,0.000339,0.128,0.581,126.367,4,N,6
more light - radio edit,bochum welt,1dC7w5XX6UB7u0HYJHqZTb,0.477,0.273,0,-16.806,1,0.0468,0.0525,0.795,0.108,0.343,112.548,3,N,7
confusão,nêgo jhá,4qSKAu4M6RRUETvdtII848,0.841,0.808,9,-2.834,0,0.0491,0.116,1.42e-05,0.134,0.654,135.074,4,N,1
cartonero,attaque 77,1JiKG47wsKUFSJwzmSkMwN,0.5,0.831,5,-4.582,0,0.0383,0.00718,0.0,0.275,0.813,169.874,4,N,1
conflict,idlefon,0JHnKrQAMmX3CONJ0t1d9q,0.512,0.572,9,-10.531,0,0.03,0.354,0.961,0.0916,0.0521,119.988,4,N,3
nero forte,slipknot,56fiFTRrSiHHH3gBeaTg2P,0.336,0.978,7,-2.358,1,0.0846,0.000437,0.000525,0.138,0.496,129.842,4,N,0
steamroller,kanine,1JWUADVbWUsJPix8A4ihQA,0.763,0.965,6,0.478,1,0.315,0.00197,0.455,0.314,0.366,174.879,4,N,0
un beso y una flor,nino bravo,5IU4JO2cpa0wPK8oQWFfCr,0.258,0.522,9,-9.859,1,0.0316,0.688,0.0,0.0703,0.419,167.582,4,N,2
"ateş, elbet",keişan,5rtEABE6O3vt9ERu5NYEEw,0.537,0.524,8,-8.218,1,0.108,0.231,2.16e-06,0.143,0.138,144.691,4,N,0
constant broad spectrum noise loop to drown out sounds & loud city noises,white noise baby sleep,7dwSZfYZgdwiYO3s4VBU61,0.0532,2.03e-05,8,-17.995,0,0.0807,1.11e-06,0.279,0.417,1e-05,58.621,4,N,7
animals,nickelback,3rjM7GhxdVq1YySsHBs21i,0.572,0.961,7,-3.089,1,0.0625,0.000734,0.021,0.207,0.818,76.998,4,N,6
honrar teu nome,cpm 22,7fasnWhDdCbisVyDXbC5pw,0.534,0.973,8,-4.274,0,0.0585,0.000866,0.0,0.0585,0.763,125.956,4,N,1
fuck machine,mindless self indulgence,6vemhd0tPB9kQhlgHWxVXE,0.602,0.967,5,-4.328,0,0.062,0.000167,6.23e-06,0.0784,0.49,151.01,4,N,1
